Product Name,Price (₹),Rating,Number of Reviews,Search Query,Search Timestamp
"Dyazo 15-15.6 Inch Stylish Laptop Sleeve | Handcrafted Jute & Vegan Leather Case with Zipper | Lightweight and Durable Laptop Bag for Work, College & Travel for Woman",479,"<span class=""a-icon-alt"">4.4 out of 5 stars</span>",231,best laptop under 120000,20250603_144346
"Dyazo 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Silver)",349,"<span class=""a-icon-alt"">4.3 out of 5 stars</span>","14,379",best laptop under 120000,20250603_144346
"HP Laptop 15s, AMD Ryzen 5 5500U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2144AU","37,270","<span class=""a-icon-alt"">4.1 out of 5 stars</span>","1,109",best laptop under 120000,20250603_144346
"HP 15, 13th Gen Intel Core i3-1315U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Grey, 1.59kg), Anti-Glare, Micro-Edge,15.6-inch(39.6cm), FHD Laptop, Intel UHD Graphics, 1080p FHD Camera, fd0006TU","37,690","<span class=""a-icon-alt"">3.8 out of 5 stars</span>",196,best laptop under 120000,20250603_144346
"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS Gaming Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/RGB KB/48WHr/Windows 11//Graphite Black/2.30 Kg) FA506NCR-HN054W","63,890","<span class=""a-icon-alt"">3.8 out of 5 stars</span>",291,best laptop under 120000,20250603_144346
"HP Pavilion x360, 13th Gen Intel Core i5-1335U Laptop (16GB DDR4, 512GB SSD) Touchscreen, 14""/35.6cm, FHD, Win 11, Office 21, Silver, 1.51kg, Iris Xe, FPR, 5MP Camera, Backlit KB, Pen, ek1074TU","70,990","<span class=""a-icon-alt"">3.8 out of 5 stars</span>",93,best laptop under 120000,20250603_144346
"HP Victus, 12th Gen Intel Core i5-12450H, RTX 3050 Gaming Laptop (16GB DDR4, 512GB SSD) 144Hz, IPS, 15.6""/39.6cm, FHD, Win 11, MS Office 21, Blue, 2.3kg, fa1379TX/fa1412tx","64,850","<span class=""a-icon-alt"">3.7 out of 5 stars</span>",37,best laptop under 120000,20250603_144346
"Zebronics-NS1500 Laptop Stand Featuring Foldable Design, Anti-Slip Silicone Rubber Pads, Supports Maximum of 5kgs Weight Tabletop",299,"<span class=""a-icon-alt"">3.7 out of 5 stars</span>","4,346",best laptop under 120000,20250603_144346
"Zebronics-NS1000 Laptop Stand Featuring Foldable Design, Anti-Slip Silicone Rubber Pads, Supports Maximum of 5kgs Weight, 6 Adjustable Levels.",229,"<span class=""a-icon-alt"">3.4 out of 5 stars</span>","2,737",best laptop under 120000,20250603_144346
"HP 15, 13th Gen Intel Core i5-1334U Laptop (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365,Office24, Silver,1.59kg, Iris Xe Graphics,FHD Camera w/Privacy Shutter, fd0577TU","56,990",No rating,No reviews,best laptop under 120000,20250603_144346
